Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-06-10 08:37:10 UTC,Shares of several technology companies are trading higher on continued volatility despite market weakness. The sector sold off recently as other sectors gained amid US economic reopening and appears to be rebounding.,NVDA,https://www.benzinga.com/wiim/20/06/16224173/shares-of-several-technology-companies-are-trading-higher-on-continued-volatility-despite-market-wea,Benzinga Newsdesk,,,,,,
2020-06-10 08:12:25 UTC,Afternoon Market Stats in 5 Minutes,NVDA,https://www.benzinga.com/markets/20/06/16223572/afternoon-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-06-10 06:22:11 UTC,Morning Market Stats in 5 Minutes,NVDA,https://www.benzinga.com/markets/20/06/16221744/morning-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-06-09 09:40:43 UTC,Shares of several technology companies are trading higher despite market weakness. The sector recently experienced some welling and appears to be rebounding following dip.,NVDA,https://www.benzinga.com/wiim/20/06/16214789/shares-of-several-technology-companies-are-trading-higher-despite-market-weakness-the-sector-recentl,Benzinga Newsdesk,,,,,,
2020-06-08 08:30:29 UTC,Afternoon Market Stats in 5 Minutes,NVDA,https://www.benzinga.com/markets/20/06/16203190/afternoon-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-06-08 06:53:46 UTC,Shares of some technology companies are trading lower despite market strength. The sector has performed well this year to date and appears to be giving back some gains following run up.,NVDA,https://www.benzinga.com/wiim/20/06/16202647/shares-of-some-technology-companies-are-trading-lower-despite-market-strength-the-sector-has-perform,Benzinga Newsdesk,,,,,,
2020-06-08 05:47:06 UTC,Morning Market Stats in 5 Minutes,NVDA,https://www.benzinga.com/intraday-update/20/06/16201614/morning-market-stats-in-5-minutes,Benzinga Insights,,,,,,
2020-06-02 09:20:06 UTC,Why BofA Recommends Buying GPU Plays AMD and Nvidia,NVDA,https://www.benzinga.com/analyst-ratings/analyst-color/20/06/16159710/why-bofa-recommends-buying-gpu-plays-amd-and-nvidia,Shanthi Rexaline,,,,,,
2020-06-02 03:14:40 UTC,"Cramer Weighs In On Ciena, Harley-Davidson And More",NVDA,https://www.benzinga.com/media/20/06/16156600/cramer-weighs-in-on-ciena-harley-davidson-and-more,Craig Jones,,,,,,
2020-05-31 07:05:12 UTC,Semiconductor Industry to Lobby for Billions to Boost U.S. Manufacturing,NVDA,https://www.benzinga.com/news/20/05/16146018/semiconductor-industry-to-lobby-for-billions-to-boost-u-s-manufacturing,Charles Gross,,,,,,
2020-05-28 00:00:00 UTC,Synopsys' Silicon-Proven DesignWare DDR IP for High-Performance Cloud Computing Networking Chips Selected by NVIDIA,NVDA,https://www.benzinga.com/news/20/05/16127281/synopsys-silicon-proven-designware-ddr-ip-for-high-performance-cloud-computing-networking-chips-sele,Benzinga Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,"Chip Stocks Move Higher Following Strong Guidance Out Of Memory Manufacturer Micron: Intel Shares Up 0.1%, AMD Down 3.3%, NVIDIA Down 4%",NVDA,https://www.benzinga.com/news/20/05/16120537/chip-stocks-move-higher-following-strong-guidance-out-of-memory-manufacturer-micron-intel-shares-up,Benzinga Newsdesk,,,,,,
2020-05-27 00:00:00 UTC,"Shares of several companies in the broader technology sector are trading lower despite market strength. Weakness potentially related to business reopenings and eased lockdown restrictions, as several names in the tech sector have benefited from work-from-home, home entertainment and e-commerce trends amid the pandemic.",NVDA,https://www.benzinga.com/wiim/20/05/16116988/shares-of-several-companies-in-the-broader-technology-sector-are-trading-lower-despite-market-streng,Benzinga Newsdesk,,,,,,
2020-05-26 00:00:00 UTC,Stocks That Hit 52-Week Highs On Tuesday,NVDA,https://www.benzinga.com/news/20/05/16106805/stocks-that-hit-52-week-highs-on-tuesday,Benzinga Insights,,,,,,
2020-05-26 00:00:00 UTC,3 Non-Semiconductor ETFs Benefiting From Nvidia Exposure,NVDA,https://www.benzinga.com/trading-ideas/long-ideas/20/05/16102903/3-non-semiconductor-etfs-benefiting-from-nvidia-exposure,ETF Professor,,,,,,
2020-05-26 00:00:00 UTC,NVIDIA shares are trading higher after Morgan Stanley maintained its Overweight rating on the stock and raised its price target from $282 to $363 per share.,NVDA,https://www.benzinga.com/wiim/20/05/16105092/nvidia-shares-are-trading-higher-after-morgan-stanley-maintained-its-overweight-rating-on-the-stock,Benzinga Newsdesk,,,,,,
2020-05-26 00:00:00 UTC,"Morgan Stanley Maintains Overweight on NVIDIA, Raises Price Target to $363",NVDA,https://www.benzinga.com/news/20/05/16104849/morgan-stanley-maintains-overweight-on-nvidia-raises-price-target-to-363,vishwanath@benzinga.com,,,,,,
2020-05-23 00:00:00 UTC,"Bulls And Bears Of The Week: Carvana, Comcast, Walmart And More",NVDA,https://www.benzinga.com/trading-ideas/long-ideas/20/05/16100390/bulls-and-bears-of-the-week-carvana-comcast-walmart-and-more,Nelson Hem,,,,,,
2020-05-22 00:00:00 UTC,"9 Nvidia Analysts On Q1 Beat, Ampere GPU: 'A Pure Play In Accelerated Computing'",NVDA,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16094454/9-nvidia-analysts-on-q1-beat-ampere-gpu-a-pure-play-in-accelerated-computing,Shanthi Rexaline,,,,,,
2020-05-22 00:00:00 UTC,"Moderna, NVIDIA, Deere Form Bright Spots Amid Worries Over U.S.-China Relationship",NVDA,https://www.benzinga.com/news/earnings/20/05/16094537/moderna-nvidia-deere-form-bright-spots-amid-worries-over-u-s-china-relationship,JJ Kinahan,,,,,,
2020-05-22 00:00:00 UTC,"Cascend Maintains Buy on NVIDIA, Raises Price Target to $380",NVDA,https://www.benzinga.com/news/20/05/16094529/cascend-maintains-buy-on-nvidia-raises-price-target-to-380,Benzinga_Newsdesk,,,,,,
2020-05-22 00:00:00 UTC,"Piper Sandler Maintains Overweight on NVIDIA, Raises Price Target to $390",NVDA,https://www.benzinga.com/news/20/05/16094328/piper-sandler-maintains-overweight-on-nvidia-raises-price-target-to-390,Vick Meyer,,,,,,
2020-05-22 00:00:00 UTC,"UBS Maintains Buy on NVIDIA, Raises Price Target to $400",NVDA,https://www.benzinga.com/news/20/05/16094106/ubs-maintains-buy-on-nvidia-raises-price-target-to-400,vishwanath@benzinga.com,,,,,,
2020-05-22 00:00:00 UTC,NVIDIA shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,NVDA,https://www.benzinga.com/wiim/20/05/16094016/nvidia-shares-are-trading-higher-after-the-company-reported-better-than-expected-q1-eps-and-sales-re,Benzinga Newsdesk,,,,,,
2020-05-22 00:00:00 UTC,"B of A Securities Reiterates Buy on NVIDIA, Raises Price Target to $420",NVDA,https://www.benzinga.com/news/20/05/16093934/b-of-a-securities-reiterates-buy-on-nvidia-raises-price-target-to-420,Benzinga_Newsdesk,,,,,,
2020-05-22 00:00:00 UTC,"Deutsche Bank Maintains Hold on NVIDIA, Raises Price Target to $315",NVDA,https://www.benzinga.com/news/20/05/16093815/deutsche-bank-maintains-hold-on-nvidia-raises-price-target-to-315,Vick Meyer,,,,,,
2020-05-22 00:00:00 UTC,"Raymond James Reiterates Outperform on NVIDIA, Raises Price Target to $370",NVDA,https://www.benzinga.com/news/20/05/16093503/raymond-james-reiterates-outperform-on-nvidia-raises-price-target-to-370,Benzinga_Newsdesk,,,,,,
2020-05-22 00:00:00 UTC,"Oppenheimer Maintains Outperform on NVIDIA, Raises Price Target to $400",NVDA,https://www.benzinga.com/news/20/05/16093473/oppenheimer-maintains-outperform-on-nvidia-raises-price-target-to-400,Vick Meyer,,,,,,
2020-05-22 00:00:00 UTC,10 Biggest Price Target Changes For Friday,NVDA,https://www.benzinga.com/analyst-ratings/price-target/20/05/16093262/10-biggest-price-target-changes-for-friday,Lisa Levin,,,,,,
2020-05-22 00:00:00 UTC,"Wedbush Maintains Outperform on NVIDIA, Raises Price Target to $420",NVDA,https://www.benzinga.com/news/20/05/16093255/wedbush-maintains-outperform-on-nvidia-raises-price-target-to-420,Vick Meyer,,,,,,
2020-05-22 00:00:00 UTC,"Mizuho Reiterates Buy on NVIDIA, Raises Price Target to $400",NVDA,https://www.benzinga.com/news/20/05/16093179/mizuho-reiterates-buy-on-nvidia-raises-price-target-to-400,Benzinga_Newsdesk,,,,,,
2020-05-22 00:00:00 UTC,"Wells Fargo Maintains Overweight on NVIDIA, Raises Price Target to $430",NVDA,https://www.benzinga.com/news/20/05/16093178/wells-fargo-maintains-overweight-on-nvidia-raises-price-target-to-430,Vick Meyer,,,,,,
